Artikul;Nomenklatura;Ves;Obyem;Koeffitsient;Nomenklaturnaya gruppa;Nomenklatura.Assortimentnaya gruppa;Nomenklatura. Proekty Misteriya;Nomenklatura.Kategoriya;Nomenklatura.Osnovnoy postavschik
501321ch;"Komplekt""3""(v. chern-n. chern-salf)";3;0,046;0,2;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501710b;"Komplekt ""8"" (v-st.l-n-z/ch-s/p-sakh5g-salf)";4,2;0,042;0,25;"Komplekty 8 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka+Sol+Perets+Sakhar""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
268346v;Podlozhka usilennaya zoloto/zhemchug D 280 mm ( Tolschina 1,5 mm ) (50 sht/upak);3,1;0,01;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268348/;Podlozhka usilennaya zoloto D 300 mm (tolschina 0,8 mm);3,1;0,008;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
501520/;"Komplekt ""5"" (v-st.l-n-z/ch-salf)";3,7;0,023;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;DIAPAZON AO
501530;"Komplekt ""5"" (v-st.l-s/p-salf.bel)";4;0,038;0,3;"Komplekty 5 ""Lozhka st.+Vilka+Salfetka+Sol+Perets""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501520a;"Komplekt ""5"" (v-st.l-n-z/ch-salf)";4;0,038;0,3;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501550;"Komplekt ""5""(v.prozr-n. prozr-z/ch-salf- vl.salf.SALDEZ)";3,8;0,041;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501511;"Komplekt ""5"" (n.chern-v.chern-l.chern-z/ch-salf)";3,6;0,043;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501520a/;"Komplekt ""5"" (v-st.l-n-z/ch-salf)";3,7;0,038;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501400/;"Komplekt ""4"" (4 bel.salf)";3,7;0,043;0,5;"Komplekty 4 ""Salfetka 4 sht.""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501511a;"Komplekt ""5"" (n.chern-v.chern-l.chern-z/ch-salf.chern)";3,8;0,041;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501403;"Komplekt ""4"" (v-ch.l-vl.salf-salf)";3,1;0,04;0,3;"Komplekty 4 ""Vilka+Lozhka ch.+Salfetka+Salfetka vl.""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501790;"Komplekt ""7"" (v-n-s/p-sakh5g-chay-salf)";4,8;0,043;0,25;"Komplekty 7 ""Vilka+Nozh+Salfetka+Sol+Perets+Sakhar+Chay""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501510/;"Komplekt ""5"" (n.prozr-v.prozr-l.prozr-z/ch-salf)";5,5;0,043;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;LENTA;YuMIPAK OOO
262094a;Upakovka pryam. vnesh. 185kh112kh65mm, vnutr. 160x80x58mm, 0,4kg, prozrachnaya, OPS;8,2;0,117;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
263007;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh73mm, vnutr. 124kh124kh65mm, prozrachn., OPS;6,69;0,171;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
264450;Upakovka pryam. 2,2l, vnesh. 194x184x83mm, vnutr. 170kh150kh76mm, prozrachnaya, OPS RK-27P (T);11,5;0,12;0,3;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
263014;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81mm, prozrachn., OPS;4,78;0,12;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;snyat s proizvodstva;TSK KOMUS OOO
86260245a;Upakovka na 4 kruglyaka  162x162x25mm, prozrachnaya, OPS;;;;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;ARKhIV;TSK KOMUS OOO
263017;Upakovka 0.4kg, kvadratn., vnesh. 153kh152kh85mm, vnutr. 124kh124kh77mm, prozrachn., OPS;7,15;0,114;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
263012;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81mm, prozrachn., OPS;10;0,12;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;snyat s proizvodstva;TSK KOMUS OOO
263009b;Upakovka kvadrat vnesh. 153x153x86mm, vnutr. 139kh139kh78mm, prozrachnaya, OPS;7,5;0,086;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;FORMPAK OOO
261056;Upakovka kvadrat vnesh. 152kh152kh81mm, vnutr.139kh139kh75mm, prozrachnaya, PET;8,5;0,097;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
501520b;"Komplekt ""5"" (v-st.l-n-z/ch-salf)";3,5;0,043;0,3;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
501520k;"Komplekt ""5"" (v-st.l-n-z/ch (kukuruz.kr)-salf)";4;0,038;0,3;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501520//;"Komplekt ""5"" (v-st.l-n-z/ch-salf)";;0,036;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;PROMA OOO
501510;"Komplekt ""5"" (n.prozr-v.prozr-l.prozr-z/ch-salf)";3,6;0,043;0,2;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501510a;"Komplekt ""5"" (n.prozr-v.prozr-l.prozr-z/ch-salf)";6,35;0,045;0,3;"Komplekty 5 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
8298022;PET butylka 0.25l, kvadratn., prozrachn., shirokoe gorlo;3,5;0,1;0,12;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;dlya RF;VOZDUKh OOO
829156;PET butylka prozrachn., 1,0l , D-28 mm, h 282 mm;3,34;0,25;0,15;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;KOMPANON OOO
841203;PET butylka 1,0l, prozrachnaya, d gorlyshka 28mm;5;0,1;100;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;AVK PLAST OOO
829106k;Butylka d/vody 0.5l., kvadratn., prozrachn., shirokoe gorlo 38mm., PET;;;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;GK MARGKOM OOO
8291058p;Butylka PET 1,0l, prozrachn., d gorla 28mm;;0,05;0,05;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;GK MARGKOM OOO
829106b;Butylka PET 0.5l., universalnyy, prozrachn., shirokoe gorlo 38mm;2;0,168;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;GK MARGKOM OOO
8291059;Butylka PET 1.5l, krugl., prozrachnaya, d gorlyshka 28mm.;;;0,04;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;GK MARGKOM OOO
291035;PET butylka prozrachn., 0.25 l s kryshkoy, shirokoe gorlo;2;0,052;0,1;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;snyat s prodazh;NOVOPLAST GRUPP OOO
268302a;Podlozhka zoloto D 100 mm ( Tolschina 0,8 mm )*100 sht/upak;0,4;0,04;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268307b;Podlozhka usilennaya zoloto/zhemchug D 200 mm ( Tolschina 1,5 mm ) (50 sht/upak);1,6;0,003;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268340b;Podlozhka zoloto D 220 mm ( Tolschina 0,8 mm )*100 sht/upak;1,6;0,004;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268356;Podlozhka zoloto s derzhatelem krug D 80 mm (Tolschina 0,8 mm)*100 sht/upak;8,7;0,03;48;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268342v;Podlozhka usilennaya zoloto/zhemchug D 240 mm ( Tolschina 1,5 mm ) (50 sht/upak);1,6;0,005;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268342b;Podlozhka zoloto/serebro D 240 mm ( Tolschina 0,8 mm )*100 sht/upak;1,6;0,032;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268340d;Podlozhka usilennaya zoloto/zhemchug D 200 mm ( Tolschina 3,2 mm ) (10 sht/upak);1,2;0,001;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268306a;Podlozhka zoloto D 180 mm ( Tolschina 0,8 mm )*100 sht/upak;0,5;0,003;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268342g;Podlozhka usilennaya zoloto/zhemchug D 240 mm ( Tolschina 3,2 mm ) (10 sht/upak);1,6;0,032;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268348/a;Pasticciere. Podlozhka zoloto s derzhatelem D 80 mm (Tolschina0,8 mm)*100 sht/upak;0,4;0,05;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;ARKhIV;DZhIDISI EAS OOO
268340a;Podlozhka belaya D 220 mm, s laminatsiey ( Tolschina 0,8 mm )*100 sht/upak;1,6;0,06;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268348a/;Pasticciere. Podlozhka zoloto D 80 mm (Tolschina 0,8)*100 sht/upak;0,4;0,05;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;ARKhIV;DZhIDISI EAS OOO
8291064;PET butylka d/vody, 1.5l, krugl., prozrachn., uzkoe gorlo;2,5;0,15;0,1;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;EVROPLAST-DON OOO
8291029;Butylka d/vody, 0,097l, krugl., prozrachn., shirokoe gorlo, PET;6,5;0,13;0,4;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;pod zakaz;EVROPLAST-DON OOO
829803;PET butylka 1.0 l,krugl, uzkoe gorlo, kryshka otdelno;1,75;0,15;0,075;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;NOVATEK
829801;PET butylka prozrachn., 0.1l, b/kryshki, kruglaya, uzkoe gorlo;3;0,003;0,2;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;snyat s prodazh;NOVATEK
291061;PET butylka, prozrachn., 1.5 l, h 317 mm,  s kryshkoy;1,82;0,131;0,05;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;VNEShTORGPLASTIK OOO
829162k;Butylka 0.5l, kvadratn., 58kh58mm, s kryshkoy, prozrachn., shirokoe gorlo 38mm., PET. Kryshka v komplekte;;;100;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;EKSPRESS PET+ OOO
8291010;Butylka 1500 ml, prozrachnaya, PE,  kryshka otdelno;1;0,13;50;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;ORION OOO
8291008;Butylka 1000 mll, prozrachnaya,PE,  kryshka otdelno;1,2;0,131;50;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;ORION OOO
268352a;Podlozhka usilennaya zoloto D 380 mm (tolschina 0,8 mm);1,8;0,026;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268353b;Podlozhka usilennaya zoloto/zhemchug D 400 mm ( Tolschina 3,2 mm ) (10 sht/upak);5,5;0,04;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268353a;Podlozhka usilennaya zoloto/zhemchug D 400 mm ( Tolschina 1,5 mm ) (50 sht/upak);5;0,02;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268343a;Podlozhka zoloto D 250 mm ( Tolschina 0,8 mm )*100 sht/upak;1,7;0,032;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268351g;Podlozhka usilennaya zoloto D 320 mm (tolschina 2,5 mm) 10 sht/upak;1,7;0,025;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268348v;Podlozhka usilennaya zoloto/zhemchug D 300 mm (tolschina 1,5 mm);3;0,016;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268353;Podlozhka usilennaya zoloto D 400 mm (tolschina 2,5 mm);5;0,02;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268344a;Podlozhka usilennaya zoloto D 260 mm (tolschina 2,5 mm);5;0,012;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268351d/;Podlozhka usilennaya zoloto/zhemchug D 340 mm ( Tolschina 3,2 mm ) (10 sht/upak);1,7;0,025;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268351b;Podlozhka usilennaya zoloto/serebro D 320 mm (tolschina 0,8 mm);1,7;0,025;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268344b;Podlozhka usilennaya zoloto/zhemchug D 260 mm (tolschina 1,5 mm);4;0,011;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268344v;Podlozhka usilennaya zoloto D 260 mm (tolschina 0,8 mm);3;0,006;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268353e;Podlozhka usilennaya zoloto/zhemchug D 420 mm ( Tolschina 3,2 mm ) (10 sht/upak);5,5;0,04;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268352g;Podlozhka usilennaya zoloto/zhemchug D 380 mm ( Tolschina 3,2 mm ) (10 sht/upak);4,1;0,04;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268346d;Podlozhka usilennaya zoloto/zhemchug D 280 mm ( Tolschina 3,2 mm ) (10 sht/upak);1,3;0,002;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
829808;PET butylka,prozrachn., 1.0 l,s kryshkoy;3,46;0,17;0,09;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;VOZDUKh OOO
829815;PET butylka, prozrach.,1.5 l,s kryshkoy;3;0,15;0,07;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;VOZDUKh OOO
8298005;PET butylka, prozrachn., 0.5 l s kryshkoy, shirokoe gorlo, PET;2,8;0,1;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;VOZDUKh OOO
291067;PET butylka, prozrachn., 1 l, h 240 mm,  d 80 mm, s kryshkoy;2,57;0,121;0,07;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;VNEShTORGPLASTIK OOO
291038;PET butylka prozrachn., 0.5 l, h 203 mm, s kryshkoy, shirokoe gorlo;2,61;0,097;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;VNEShTORGPLASTIK OOO
841212;Butylka PET 1.5l, s kryshkoy, prozrachn.;1,75;0,131;0,048;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;Firsov Valeriy Aleksandrovich IP
8291030;PET butylka prozrachn., 0.25 l, shirokoe gorlo;6;0,155;0,4;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;;EVROPLAST-DON OOO
8291040a;Butylka d/vody, 0.5l, krugl., prozrachn., PET, shirokoe gorlo;5,1;0,15;0,2;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;VIPET OOO
8291040;Butylka d/vody, 0.5l, krugl., prozrachn., PET, shirokoe gorlo;5,1;0,15;0,2;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;pod zakaz;EVROPLAST-DON OOO
829806;PET butylka,1.5l s kryshkoy,prozrach., krugl., uzkoe gorlo;2,1;0,141;0,06;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;NOVATEK
8291040k;Butylka d/vody, 0.5l, kvadratn., prozrachn., PET, shirokoe gorlo;3,5;0,096;0,126;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;pod zakaz;VIPET OOO
8298003a;PET butylka, prozrachn., 0.5l, s kryshkoy, shirokoe gorlo, PET;1,5;0,06;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;ARKhIV;AKVAPLAST OOO
8298009;PET butylka, prozrachn., 1.0 l s kryshkoy;3,2;0,15;0,088;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;AKVAPLAST OOO
829026;Butylka 1l, prozrachn., s kryshkoy, PET;2,66;0,115;0,07;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;pod zakaz;Bulutyants Gurgen Aganesovich IP
829020;Butylka 0.25l, shirokoe gorlo, prozrachn., s kryshkoy, PET;2,1;0,115;0,1;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;;Bulutyants Gurgen Aganesovich IP
187893;"Komplekt ""2"" (v-salf)";0,8;0,01;200;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;DIAPAZON AO
501313;"Komplekt ""3"" (v-n-salf)";2,1;0,038;0,3;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;DIAPAZON AO
501206;"Komplekt ""2"" (v. chern-salf)";2,69;0,046;0,4;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
501204ch;"Komplekt ""2"" (v. chern-salf)";3;0,038;0,2;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501210//;"Komplekt ""2"" (v-salf)";2,1;0,038;0,4;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;DIAPAZON AO
218335;"Folga 44smkh10m ""Gril"" (20 mkm) v plenke";3,25;0,017;15;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
2182522;"Folga 29smkh7m ""Osobo prochnaya"" (14 mkm) v plenke";4;0,018;35;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;;RUSAL - Sayanskaya folga OOO
8218121;Folga 30sm*10m alyuminievaya dlya upakovki,khraneniya i zapekaniya;3,3;0,017;40;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;;SOYuZ UPAKOVKA OOO
8218121a;Folga 30sm*8m alyuminievaya dlya upakovki,khraneniya i zapekaniya;3;0,017;40;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;SOYuZ UPAKOVKA OOO
2183355;"Folga 44smkh7m ""Gril"" (20 mkm) v plenke";3,5;0,014;15;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;;RUSAL - Sayanskaya folga OOO
218291/;"Folga 29smkh25m ""Universalnaya""  (11 mkm) v plenke";6,5;0,017;28;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
218480;"Folga 29smkh100m ""Universalnaya"" (11 mkm) v plenke";10,9;0,017;12;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;Aktsiya BONUS 1%;RUSAL - Sayanskaya folga OOO
218291;"Folga 29smkh25m ""Universalnaya""  (11 mkm) v plenke";6,5;0,017;28;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
218221;"Folga 29smkh10m ""Universalnaya"" (11 mkm) v plenke";3,05;0,025;35;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
261368;Upakovka 1,0 vnesh. 132kh132kh79mm, vnutr. 118kh118kh76mm, prozrachnaya, OPS;7,795;0,086;0,64;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;FORMPAK OOO
826202r;Upakovka 650ml, kvadratn., vnesh. 131kh131kh53mm, vnutr. 103kh103kh43mm, prozrachn.;8,6;0,14;0,75;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;INLAYN-R
826202d;Upakovka 1150ml, kvadratn., vnesh. 129kh129kh87mm, vnutr. 103kh103kh87mm, prozrachn., PS;7,18;0,14;0,75;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;INLAYN-R
260007;Konteyner 0,28l, vneshn.122kh98kh52mm, prozrachnaya, OPS;6,43;0,08;0,8;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;UNIPAK OOO
